사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
Apr-23,경부선,1725,성환,26,1,"2,396",624,"3,730","2,635","7,122","12,578","7,087","24,684","7,123","27,089","7,186","11,324","7,928","6,813","11,871","11,844","13,027","11,361","12,771","6,128","17,808","6,527","25,374","7,501","24,923","8,857","16,011","8,613","6,856","7,000","6,231","6,497","3,522","5,797","2,603","5,541","1,051","4,386",96,"1,069",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경부선,1726,직산,89,1,971,450,"1,604","1,196","2,140","3,047","2,213","3,824","1,518","1,471","1,525","1,112","1,506","1,111","1,315","1,173","1,281","1,168","1,229","1,166","1,749","1,166","1,931","1,523","3,576","1,940","3,598","2,022","1,234","2,087",918,"1,311",730,"1,178",337,991,160,786,22,149,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경부선,1727,두정,"1,347",6,"5,696","1,122","10,021","3,960","18,720","13,318","18,054","23,455","14,521","24,811","11,145","17,838","12,408","13,675","16,151","15,083","14,278","13,076","14,131","10,891","16,793","10,718","18,226","14,553","20,957","20,845","19,018","24,792","12,210","16,193","9,159","13,582","8,604","10,414","5,555","10,174","2,599","8,187",30,"2,259",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경부선,1728,천안,"1,871",9,"3,538",785,"6,441","3,339","12,354","7,070","11,536","18,125","15,419","16,374","11,570","14,079","13,404","14,627","13,999","14,764","13,601","14,476","18,672","12,722","23,207","14,159","24,283","14,835","22,618","20,153","18,994","20,679","12,019","13,330","9,729","10,417","6,710","7,093","3,771","5,807","2,341","3,244",20,"2,212",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경부선,1729,당정,9,0,"3,964",943,"10,788","3,038","26,163","9,262","25,047","16,625","13,419","10,510","9,663","6,885","9,168","5,416","10,431","7,170","8,978","6,636","8,689","6,699","9,574","7,936","10,659","10,185","13,551","13,879","14,341","21,626","6,063","17,626","4,964","12,322","4,196","10,098","3,328","10,044","1,253","6,522",75,"1,114",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경부선,1749,서동탄,2,1,"1,151",7,"4,912",869,"10,489","1,722","4,053","1,464","2,980",864,"1,999",835,"2,043","1,199","1,595","1,132","1,545","1,237","1,475","1,438","1,805","2,300","1,791","2,292","2,062","3,282","2,433","5,107",965,"5,794",867,"2,598",610,"1,970",429,"2,748",127,"1,558",3,"1,313",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경부선,1750,광명,0,0,26,"1,346","3,149","3,004","12,413","6,891","10,514","7,135","7,115","6,813","4,358","4,284","7,617","2,607","5,508","8,255","5,014",179,"4,027","8,165","8,830","4,337","3,223","5,078","8,928","7,231","10,191","12,576","9,040","7,093","3,277","4,471","7,580","2,997","2,559","4,621","1,305",44,1,1,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경인선,1801,개봉,"1,568",6,"18,642","5,783","40,518","9,871","98,622","14,772","89,789","23,652","56,996","21,954","40,391","18,192","34,880","19,874","35,449","25,835","32,208","25,196","27,693","28,936","27,151","36,691","30,040","46,961","31,492","62,709","31,056","90,834","19,458","67,821","15,178","43,936","12,796","40,770","9,583","33,267","3,592","19,824",54,"1,232",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경인선,1802,오류동,499,8,"12,618","1,795","19,582","4,465","51,754","5,888","51,412","11,565","30,492","11,107","21,915","9,645","19,634","10,116","20,987","12,583","18,735","13,388","16,218","14,900","15,435","19,156","16,116","23,396","15,670","29,986","14,413","44,542","8,603","37,141","6,628","23,184","6,214","21,821","4,314","18,850","1,697","12,888",44,786,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경인선,1803,역곡,882,12,"28,882","2,806","46,633","9,962","120,296","14,793","116,701","40,344","67,731","43,894","46,224","27,816","41,762","30,639","43,238","32,019","41,087","32,935","36,418","35,519","39,226","39,501","45,136","56,948","45,491","75,351","41,077","116,964","24,808","93,531","20,577","55,126","17,886","50,739","15,920","44,372","7,215","29,931",192,"1,456",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경인선,1804,부천,"2,748",28,"38,494","4,449","44,196","11,716","105,562","18,844","105,437","50,627","65,920","46,519","48,865","39,583","49,155","40,483","52,406","48,310","50,446","51,948","49,161","51,754","52,454","55,127","58,921","68,304","59,692","88,718","57,185","119,881","37,983","98,964","32,361","60,535","31,001","51,270","25,499","42,532","11,947","28,472",302,"3,535",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경인선,1805,송내,"1,512",8,"17,127","8,927","40,148","17,026","110,307","30,774","93,230","76,447","54,727","39,347","40,093","24,239","37,834","23,773","38,603","26,513","34,780","29,808","31,519","29,782","34,012","33,834","39,317","44,982","48,667","62,302","73,666","93,134","30,575","84,535","23,409","50,131","20,182","45,125","15,913","38,203","7,263","23,240",454,"2,620",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경인선,1806,부평,"8,196",79,"22,200","5,461","36,415","13,253","84,321","20,397","80,121","33,722","48,615","38,351","40,534","35,210","41,060","39,892","45,251","46,727","44,774","52,597","44,394","52,316","49,003","54,118","54,439","70,177","57,734","86,481","54,008","120,307","41,756","96,324","37,812","54,866","37,477","47,077","31,737","38,786","16,044","23,826","2,242","6,169",0,4,0,0,0,0,2023-05-03 10:27
Apr-23,경인선,1807,백운,132,4,"7,934","1,458","13,373","3,743","27,450","4,536","26,021","9,291","16,125","5,948","12,982","5,707","12,181","6,667","12,072","8,005","10,515","9,030","9,103","9,076","9,310","11,915","10,725","15,209","10,366","17,728","8,770","23,420","5,072","21,679","3,884","13,433","3,571","12,151","2,429","11,035","1,195","7,160",92,"1,497",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경인선,1808,동암,618,6,"19,296","3,524","33,539","7,984","62,746","12,907","60,762","16,741","36,679","14,540","28,781","13,697","25,972","16,754","26,630","18,188","24,799","19,847","21,733","20,084","20,898","26,145","23,097","33,914","25,150","45,381","22,295","60,665","14,292","54,118","12,052","34,760","9,746","31,944","7,649","27,359","3,592","16,940",214,"3,839",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경인선,1809,주안,780,26,"14,354","4,349","28,198","9,236","62,108","18,858","58,104","29,719","37,731","26,057","29,719","19,502","29,602","19,617","33,182","23,811","31,401","20,822","27,460","23,674","31,305","24,124","33,632","34,352","40,672","41,357","37,475","57,032","23,474","58,018","20,531","33,229","18,977","29,687","16,171","27,039","7,425","20,054",487,"4,428",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경인선,1810,제물포,759,3,"7,665","2,362","16,089","5,369","39,064","14,335","34,371","35,450","20,067","19,308","16,416","10,657","16,759","9,394","17,585","12,107","17,332","13,266","15,209","12,012","19,802","13,566","24,106","17,904","22,919","22,869","24,434","30,683","10,862","29,116","8,017","17,050","6,934","15,738","4,647","14,802","1,734","10,348",68,"2,882",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경인선,1811,동인천,"1,410",24,"7,021","2,415","17,760","11,462","43,359","23,752","35,333","33,618","22,988","19,361","20,598","21,732","21,838","23,638","23,904","20,292","23,372","24,679","23,439","22,955","28,897","21,356","32,207","25,605","37,442","29,673","43,529","34,876","19,080","34,717","14,137","20,096","11,145","16,836","7,147","15,782","2,450","10,083",5,"3,407",0,1,0,0,0,0,2023-05-03 10:27
Apr-23,경인선,1812,인천,293,21,"1,330",965,"3,523","3,198","5,914","6,041","5,598","8,868","3,855","6,477","3,877","8,902","4,802","11,988","6,645","10,836","8,577","9,610","11,474","8,834","13,215","6,707","16,571","5,672","16,793","5,197","15,376","4,756","7,692","3,127","5,655","2,638","3,490","2,034","1,851","1,827",499,"1,272",16,"1,003",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경인선,1813,구일,236,6,"4,058","1,710","10,191","4,544","27,624","9,231","24,552","15,689","14,503","13,693","10,851","8,756","10,399","7,815","11,570","13,549","10,472","19,097","10,619","11,325","12,955","13,147","18,533","17,391","19,887","23,147","19,010","33,253","8,968","20,510","9,320","12,033","16,950","10,574","7,522","9,189","2,155","5,959",23,303,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경인선,1814,소사,"1,038",25,"13,945","3,177","14,781","5,499","30,948","8,299","28,389","14,401","18,836","12,250","15,670","12,045","14,087","10,608","14,449","13,331","13,938","12,217","12,657","11,915","13,527","13,396","15,676","16,984","15,509","20,848","12,366","26,961","7,465","23,401","5,290","15,321","4,804","14,060","3,305","12,395","1,250","9,448",51,"1,112",2,0,0,0,0,0,2023-05-03 10:27
Apr-23,경인선,1815,부개,"1,885",8,"10,364","1,607","18,008","3,313","41,977","5,948","35,207","11,228","22,146","6,917","15,872","6,272","14,284","7,827","14,680","9,460","13,299","10,502","10,808","11,668","10,682","13,744","12,483","19,052","11,773","23,767","11,033","30,246","6,521","27,488","4,500","16,686","4,134","15,938","2,776","13,605","1,514","9,148",120,"1,461",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경인선,1816,간석,342,6,"5,663","1,317","11,223","2,479","24,338","4,503","20,577","9,829","12,226","5,354","10,226","5,260","9,842","5,832","9,770","6,388","8,607","8,311","8,114","7,791","8,635","9,587","9,456","12,173","8,934","15,106","9,386","19,360","5,044","17,545","4,123","10,900","3,858","9,058","2,920","8,051","1,361","5,520",106,"1,494",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경인선,1817,도원,457,15,"2,258","1,088","3,583","2,205","7,999","7,222","7,614","21,490","4,833","3,778","4,412","4,182","5,002","3,746","5,231","3,474","5,847","4,452","4,551","4,546","7,301","5,373","11,642","6,537","9,328","6,599","9,928","7,990","3,386","6,837","2,494","4,144","4,321","3,321","1,240","2,903",371,"2,264",28,983,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경인선,1821,온수(성공회대입구),206,2,"5,426","1,226","9,012","3,605","23,632","9,757","21,631","14,961","14,238","10,018","11,276","7,244","11,078","7,594","13,417","7,928","11,080","8,243","10,321","9,044","11,719","10,048","16,523","11,711","13,686","14,816","11,660","22,417","6,142","18,574","4,812","11,101","5,362","10,599","3,314","8,892","1,655","5,951",47,555,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경인선,1822,중동,962,13,"11,184","1,070","18,711","3,284","44,837","5,529","35,845","12,368","20,906","8,209","15,660","7,644","14,583","9,050","15,770","10,083","13,585","10,702","12,003","11,697","11,457","13,960","12,178","18,716","12,643","24,087","12,327","32,438","7,012","28,922","5,549","17,954","4,670","15,369","3,101","13,567","1,414","9,115",75,"1,307",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경인선,1823,도화,316,4,"4,630",691,"7,350","1,744","17,011","3,906","14,414","7,063","9,027","3,689","7,461","3,796","7,135","4,148","6,968","5,340","6,711","5,553","5,972","6,032","6,171","7,301","7,210","8,902","6,991","10,009","7,060","11,717","3,552","10,806","2,742","6,834","2,076","5,904","1,491","4,905",635,"3,828",29,"1,612",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경원선,1008,이촌(국립중앙박물관),72,0,"1,179",700,"3,931","2,692","8,804","4,613","9,873","8,880","8,577","5,504","7,021","4,219","6,563","4,050","6,880","4,074","7,211","4,912","6,447","4,671","7,159","5,451","8,766","6,257","10,461","7,111","10,697","8,531","6,106","6,624","5,009","4,542","4,424","4,213","2,569","4,224",873,"2,386",58,781,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경원선,1009,서빙고,61,0,"1,124",704,"2,136","4,129","3,428","4,780","4,050","9,568","3,577","4,146","3,529","3,575","2,918","2,956","3,423","2,628","3,808","3,897","3,783","3,570","4,495","4,364","6,916","4,227","8,350","3,585","7,504","4,334","3,429","3,787","2,851","2,128","2,895","1,966","1,569","1,771",414,"1,087",19,300,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경원선,1010,한남,145,3,"1,768",826,"2,620","6,028","4,497","11,149","5,721","14,174","4,916","10,460","4,958","6,083","5,130","5,024","5,676","5,488","5,187","5,524","6,099","4,963","7,844","5,112","9,882","6,463","14,836","7,066","14,649","7,737","7,453","6,424","5,653","3,172","5,416","3,492","5,222","2,589","2,132","1,574",123,429,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경원선,1011,옥수,0,0,0,38,10,110,59,27,125,276,21,40,38,272,12,194,13,71,10,29,49,15,13,18,398,57,436,103,46,52,423,25,49,7,68,13,17,5,3,0,1,0,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경원선,1012,응봉,126,1,"1,343",225,"3,323","1,007","7,988","1,705","8,020","2,514","5,581","2,234","4,051","2,559","3,665","2,328","3,258","2,574","3,218","3,056","2,983","3,694","3,295","3,679","3,712","4,515","3,354","4,828","3,088","5,730","1,823","4,971","1,371","3,230",994,"2,751",847,"2,655",327,"1,694",30,517,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경원선,1013,왕십리(성동구청),880,6,"5,831","1,390","9,318","6,482","27,358","13,287","42,285","23,661","26,730","21,805","17,656","20,911","18,525","21,649","22,374","24,116","25,502","26,279","25,525","26,454","28,126","29,302","33,775","35,021","37,350","47,120","34,769","66,329","28,271","47,957","28,075","29,590","31,990","23,812","29,286","21,312","13,331","11,568","1,252","4,766",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경원선,1014,청량리(서울시립대입구),"1,253",20,"5,593","1,987","8,461","13,171","28,434","19,135","45,076","27,290","26,369","32,871","34,991","33,973","25,041","34,895","31,016","31,997","37,735","33,340","30,247","35,883","37,742","37,788","38,865","37,597","34,354","35,754","42,482","54,588","24,890","35,556","28,958","20,984","21,603","22,176","11,858","13,264","5,436","7,520",156,"3,640",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경원선,1016,외대앞,536,11,"5,222","4,231","8,675","8,243","19,748","5,066","23,641","27,303","15,855","12,960","12,691","20,604","14,142","18,677","15,972","16,607","16,892","13,178","18,884","16,820","18,699","13,996","26,908","16,422","27,383","19,191","19,544","24,303","13,042","19,982","12,729","13,262","11,648","13,573","9,152","13,541","4,742","10,687",196,"2,182",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경원선,1017,신이문,"1,381",7,"8,749","2,417","14,642","4,290","36,448","4,163","39,993","7,976","22,924","4,711","15,956","5,884","13,831","6,887","13,447","8,719","13,072","9,400","10,507","10,477","9,540","14,648","11,892","17,494","10,159","21,811","8,910","30,870","6,027","24,469","3,941","16,049","2,978","14,063","2,088","12,751",976,"8,309",58,"1,646",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경원선,1018,석계,"1,257",11,"6,877","1,877","11,536","3,589","23,939","5,650","28,339","9,760","18,606","7,875","15,398","7,510","14,305","9,589","14,461","9,563","13,657","11,615","12,135","12,198","12,025","16,608","12,866","21,248","12,831","26,457","11,403","37,133","8,607","27,296","6,829","18,001","6,571","16,590","5,353","12,901","2,896","8,724",133,"1,860",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경원선,1019,광운대,"2,167",4,"6,374","1,088","13,854","2,443","29,905","6,345","28,060","22,431","16,315","12,260","12,651","12,475","13,184","16,735","13,410","11,647","14,407","13,191","14,174","13,119","14,947","12,312","16,629","15,899","17,305","17,899","15,014","25,571","8,217","20,901","7,272","13,346","7,184","12,242","6,604","10,602","3,245","9,620",210,"4,476",0,1,0,0,0,0,2023-05-03 10:27
Apr-23,경원선,1020,월계,897,12,"5,019","1,085","10,420","2,264","26,224","7,713","24,208","16,627","15,665","16,143","12,306","9,542","12,238","7,509","13,670","9,757","12,723","13,482","11,317","8,686","13,485","10,713","19,921","13,853","17,110","16,071","12,261","23,148","6,652","18,574","5,357","10,422","4,729","10,087","3,530","8,717","1,289","6,355",108,"1,367",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경원선,1021,녹천,"1,160",11,"4,102",670,"8,084","1,486","21,519","5,107","20,752","5,107","11,502","2,845","8,520","3,481","7,199","3,317","7,848","4,544","6,528","4,622","5,829","5,088","5,364","5,963","6,899","8,077","5,856","10,032","4,612","14,963","3,205","12,558","2,054","7,887","1,941","7,228","1,799","5,857",494,"4,419",57,"1,122",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경원선,1022,창동,0,0,0,0,1,0,0,0,2,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경원선,1901,방학,766,7,"12,484","1,885","16,490","4,852","35,937","9,701","32,222","20,657","21,826","11,178","18,188","11,328","16,792","10,177","18,366","12,984","16,141","13,180","14,544","15,523","14,765","18,378","15,621","21,912","16,034","25,875","17,897","30,109","10,414","29,079","7,409","16,371","6,241","13,641","4,500","12,557","1,952","7,427",202,"2,736",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경원선,1902,도봉,344,24,"7,072","1,400","10,457","3,231","20,088","4,166","18,597","9,986","13,603","7,729","11,630","7,858","10,541","6,475","9,874","8,639","9,902","8,222","9,536","9,476","9,564","10,335","9,648","12,375","10,280","14,811","10,041","16,031","5,053","15,712","3,358","9,446","2,571","7,794","1,985","7,292",787,"4,163",128,"1,503",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경원선,1903,도봉산,307,10,"6,416",973,"9,220","2,700","21,190","4,821","21,736","8,579","14,828","13,820","12,704","18,222","12,852","15,318","15,403","16,438","18,661","12,553","21,587","10,790","23,128","10,638","23,015","10,490","19,476","10,121","15,016","10,088","9,496","8,914","5,247","5,247","3,591","4,797","2,096","4,795",977,"3,019",125,"1,187",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경원선,1904,망월사,618,8,"7,818","1,200","12,843","3,696","29,121","5,791","28,304","24,179","18,028","18,242","15,336","10,858","15,978","16,973","16,018","14,022","16,078","14,157","17,409","14,802","16,341","14,242","18,412","16,857","21,535","21,223","13,220","26,162","7,946","24,697","6,268","14,754","5,662","12,498","4,717","11,531","2,166","7,494",340,"2,953",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경원선,1905,회룡,"1,297",23,"15,244","1,936","27,761","5,547","58,447","9,212","49,641","13,110","33,019","11,753","26,967","11,654","24,825","13,312","22,625","15,762","20,011","16,978","16,807","19,328","16,198","23,262","15,379","29,912","15,091","36,585","13,221","45,915","8,285","45,041","6,475","26,130","5,716","21,965","4,255","17,525","1,633","11,540",285,"4,587",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경원선,1906,의정부,"2,553",4,"10,786","2,405","26,414","7,506","51,575","13,582","49,705","34,745","30,116","36,206","25,732","27,634","28,241","30,414","30,552","33,756","30,667","37,286","32,117","33,397","34,427","32,213","37,267","40,091","42,621","45,891","44,305","60,365","27,876","53,578","27,169","33,589","18,995","25,833","15,426","22,109","7,399","16,151",774,"7,474",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경원선,1907,가능,528,7,"7,850","2,031","12,472","4,014","25,121","7,846","22,844","15,103","13,646","8,456","12,523","6,483","12,198","7,426","11,609","7,624","10,092","9,172","9,361","7,047","9,455","10,110","11,713","13,190","13,205","16,263","9,474","21,050","6,276","18,506","4,972","12,875","4,180","9,951","2,918","8,969","1,200","5,580",110,"2,126",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경원선,1908,녹양,307,2,"5,132",734,"8,360","2,662","18,415","5,374","15,984","9,017","9,938","4,825","8,802","3,698","8,436","5,307","8,307","4,914","7,406","5,959","6,266","5,459","6,804","6,916","7,267","9,640","8,501","11,818","8,226","14,389","4,226","13,067","3,005","9,545","2,394","7,211","1,542","6,892",704,"4,453",57,"1,636",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경원선,1909,양주,"1,799",9,"5,037","1,690","11,455","5,968","31,511","11,238","25,113","12,448","19,117","9,080","16,128","7,954","14,648","8,032","13,926","9,775","13,520","8,648","11,283","9,038","11,751","12,002","13,730","14,636","15,101","19,649","14,712","23,288","7,210","20,477","4,525","15,444","3,294","12,275","2,056","11,285",801,"6,602",54,"2,886",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경원선,1910,덕계,10,2,"4,070","1,025","12,883","4,649","19,548","4,256","17,325","6,740","9,652","4,470","7,564","2,856","6,898","3,425","5,746","3,827","6,149","4,538","5,136","4,080","5,480","5,861","7,518","6,963","7,086","11,723","6,313","13,535","2,910","13,944","2,122","7,032","1,515","7,099","1,097","5,458",492,"3,914",26,"1,258",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경원선,1911,덕정,1,0,"3,599","1,591","9,247","6,981","18,987","10,021","19,945","19,872","12,120","12,784","10,073","7,070","10,571","7,148","11,378","8,928","11,536","7,784","10,259","6,313","11,863","8,517","13,518","9,165","15,532","14,163","14,200","15,390","5,688","14,679","4,705","9,037","3,511","8,798","2,251","7,329","1,331","5,023",214,"1,629",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경원선,1912,지행,67,1,"5,051","1,034","11,350","2,523","22,511","5,836","23,766","12,856","16,574","6,742","12,812","5,789","12,594","7,246","10,886","8,271","10,887","10,258","9,693","9,117","9,330","12,532","10,248","14,677","10,805","20,902","11,968","19,791","7,478","21,242","6,498","14,306","5,066","10,839","3,878","9,812","2,123","7,413",176,"2,579",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경원선,1913,동두천중앙,51,0,"2,420",571,"5,202","2,096","8,617","4,420","9,002","10,133","6,913","4,742","6,290","4,135","5,573","5,195","6,023","4,321","5,772","5,361","4,952","4,578","5,786","5,528","5,447","5,532","6,304","6,919","7,365","6,593","3,041","6,742","2,143","4,575","1,411","3,454","1,032","3,303",369,"2,648",4,766,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경원선,1914,보산,45,1,"1,529",448,"2,045","1,208","4,182","2,766","4,122","2,873","3,647","1,867","3,043","1,546","2,848","1,674","2,857","1,843","2,823","2,190","2,657","2,238","2,905","2,644","3,629","2,705","4,923","3,629","3,380","3,857","1,999","4,565","1,329","3,560",936,"2,539",448,"1,977",167,"1,630",6,504,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경원선,1915,동두천,34,1,"1,168",757,"2,990","3,959","5,432","7,542","6,569","7,871","4,977","8,180","4,620","5,606","4,537","4,358","4,035","3,409","5,084","4,492","5,102","3,861","7,112","4,096","6,500","3,956","5,964","4,526","5,717","5,334","2,696","4,613","1,683","4,058",829,"2,874",702,"2,300",343,"1,918",1,594,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,경원선,1916,소요산,132,1,897,625,"1,314","1,320","3,191","2,458","4,935","4,409","5,454","4,683","4,217","9,039","4,497","9,821","6,375","12,194","9,295","7,397","12,019","5,703","13,016","4,523","12,421","4,384","8,310","4,066","4,925","2,901","2,365","2,247","1,465","2,113",679,"1,094",243,773,126,988,3,585,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,안산선,1751,산본,452,1,"8,666","1,860","23,007","6,113","57,118","15,397","54,692","30,229","29,422","22,413","24,852","21,142","23,847","22,711","26,259","25,202","25,372","28,042","25,404","26,245","28,273","28,264","29,671","34,475","29,394","43,754","32,072","66,576","21,540","56,101","17,919","31,612","17,493","25,230","13,328","21,025","5,146","13,440",512,"4,550",1,0,0,0,0,0,2023-05-03 10:27
Apr-23,안산선,1752,대야미,0,0,"2,754",960,"8,038","2,902","18,804","5,677","20,344","8,811","11,644","5,029","8,782","5,078","8,082","5,405","8,233","5,531","8,352","5,893","8,108","6,263","8,798","8,120","9,209","9,955","9,569","10,773","11,094","16,229","5,709","12,737","4,321","9,185","2,824","7,703","1,671","7,307",858,"4,239",140,"1,083",0,1,0,0,0,0,2023-05-03 10:27
Apr-23,안산선,1753,반월,12,0,"3,371",803,"8,070","2,554","17,324","4,128","16,714","8,029","10,465","3,857","8,289","3,627","6,927","4,445","7,211","4,631","6,997","5,248","5,869","5,770","5,654","7,360","6,839","9,623","8,301","10,833","7,876","15,812","4,123","11,425","2,842","8,992","1,826","7,145","1,463","6,901",515,"3,820",147,948,0,1,0,0,0,0,2023-05-03 10:27
Apr-23,안산선,1754,상록수,342,17,"13,967","2,689","30,945","8,073","68,622","13,259","64,805","21,739","36,901","20,346","27,428","17,354","24,623","14,717","25,553","15,543","24,433","18,410","20,440","19,487","23,051","22,123","25,223","30,489","28,057","43,664","23,517","64,624","15,351","55,391","11,976","36,874","9,801","32,771","6,778","27,097","2,695","18,192",366,"5,322",0,3,0,0,0,0,2023-05-03 10:27
Apr-23,안산선,1755,한대앞,108,2,"7,744","1,113","17,404","4,215","31,858","9,135","28,044","25,013","20,043","18,421","16,434","17,219","15,716","10,999","16,865","14,197","16,038","13,412","15,722","13,585","15,967","14,169","20,190","18,666","22,234","25,731","19,858","34,493","11,411","25,955","10,011","18,387","9,449","15,160","7,689","14,338","3,033","9,242",233,"2,759",1,1,0,0,0,0,2023-05-03 10:27
Apr-23,안산선,1756,중앙,228,23,"10,252","1,438","30,784","10,916","58,729","17,485","51,524","38,864","31,849","32,378","26,089","21,798","27,462","22,102","30,857","26,445","28,184","29,661","25,633","28,672","28,190","31,125","34,806","36,938","38,824","51,038","40,549","72,053","25,925","57,815","25,013","37,030","24,775","31,220","20,261","25,746","9,169","19,423",816,"5,798",1,1,0,0,0,0,2023-05-03 10:27
Apr-23,안산선,1757,고잔,190,6,"5,110","1,141","16,063","4,889","31,517","13,384","25,085","27,422","17,085","15,166","14,879","11,984","14,370","11,290","13,784","12,190","13,412","13,501","13,594","12,725","15,296","12,384","16,847","13,254","23,873","19,065","23,624","27,047","8,627","21,187","7,436","13,097","7,461","11,675","4,856","9,917","2,252","8,289",216,"3,292",0,3,0,0,0,0,2023-05-03 10:27
Apr-23,안산선,1758,초지,247,8,"3,887",400,"11,959","4,049","23,462","8,881","18,502","12,134","11,461","7,661","8,535","5,395","7,935","4,609","7,949","5,246","7,120","5,766","5,897","5,983","6,367","7,235","7,467","8,348","10,431","12,327","10,693","18,128","5,588","16,126","3,898","10,323","3,008","9,487","1,798","7,938",653,"5,919",44,"2,147",0,2,0,0,0,0,2023-05-03 10:27
Apr-23,안산선,1759,안산,"1,209",11,"10,267","1,391","12,297","15,792","22,717","38,765","24,169","32,966","20,901","16,379","18,027","13,357","17,400","14,962","18,420","15,166","18,616","16,254","18,571","16,027","19,149","18,068","23,672","19,398","42,483","26,221","45,004","29,030","21,547","21,937","19,431","17,017","10,764","14,106","4,865","10,548","1,521","6,976",103,"2,690",0,7,0,0,0,0,2023-05-03 10:27
Apr-23,안산선,1760,신길온천,28,0,"2,277",118,"4,128","1,763","8,096","3,421","6,881","2,810","4,644","1,497","3,681","1,579","3,128","1,908","2,992","1,966","2,718","1,875","2,319","2,462","2,253","3,019","2,971","3,329","4,283","5,232","4,031","6,848","1,964","5,100","1,331","3,626",828,"2,863",481,"2,597",198,"1,810",25,526,0,0,0,0,0,0,2023-05-03 10:27
