사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
Apr-23,2호선,204,을지로4가,14,0,"1,061","1,063","2,039","12,554","5,349","33,698","10,254","76,640","11,713","40,356","14,814","25,089","17,903","25,291","19,263","22,154","21,016","21,980","23,491","20,521","25,950","18,279","32,471","17,676","56,330","18,008","66,452","18,197","30,300","12,370","18,186","8,812","15,622","8,360","10,183","8,254","4,999","5,562",862,"1,613",1,30,0,0,0,0,2023-05-03 10:27
Apr-23,2호선,205,동대문역사문화공원(DDP),163,3,"4,766","1,454","4,107","8,846","7,129","25,018","12,948","49,389","14,258","31,892","16,263","29,923","18,845","31,260","21,485","30,073","23,269","30,235","27,451","29,943","33,053","28,037","40,623","26,198","44,367","28,846","46,547","33,337","30,703","30,318","23,676","23,127","25,273","20,417","18,767","17,642","9,498","11,053","1,741","3,300",0,107,0,0,0,0,2023-05-03 10:27
Apr-23,2호선,206,신당,33,0,"6,062","1,119","11,753","8,419","29,482","16,797","49,238","32,881","29,476","22,887","20,148","18,546","19,813","19,969","22,752","21,690","22,729","23,946","22,535","23,010","23,919","25,407","27,658","30,177","30,194","38,891","32,863","54,756","23,577","36,074","18,903","23,027","17,613","20,775","15,802","19,780","7,952","11,344","1,168","3,558",0,36,0,0,0,0,2023-05-03 10:27
Apr-23,2호선,207,상왕십리,38,1,"5,659",637,"14,421","6,482","40,878","13,021","66,803","32,272","37,628","18,203","23,560","13,401","20,200","12,436","22,196","14,522","20,494","16,076","19,036","17,181","19,737","20,327","21,035","25,892","24,699","34,113","26,688","52,850","18,650","36,040","12,631","24,099","11,085","23,199","7,807","21,332","3,040","13,133",410,"4,160",0,14,0,0,0,0,2023-05-03 10:27
Apr-23,2호선,208,왕십리(성동구청),878,6,"6,604","1,014","9,885","6,990","25,378","14,553","45,426","29,639","29,075","19,711","20,018","15,462","19,588","16,529","23,746","18,450","24,064","19,566","23,003","19,000","25,733","21,285","32,489","25,636","34,683","35,712","36,695","55,193","24,842","34,972","24,387","22,608","26,905","20,119","27,655","19,460","16,096","13,068","2,928","4,536",2,12,0,0,0,0,2023-05-03 10:27
Apr-23,2호선,209,한양대,6,2,"1,162",440,"2,499","6,228","5,566","13,498","8,825","68,971","6,367","61,100","8,655","57,645","13,915","20,046","18,169","38,604","20,921","30,600","26,891","22,549","32,595","13,746","43,006","11,905","53,133","15,616","42,316","19,931","21,255","9,652","18,912","6,642","21,878","5,778","14,890","5,793","8,528","4,183","1,856","1,215",0,4,0,0,0,0,2023-05-03 10:27
Apr-23,2호선,210,뚝섬,11,0,"3,251","2,332","8,410","16,373","18,093","38,792","25,194","133,956","17,684","92,047","14,584","44,057","17,030","38,058","21,764","39,345","25,729","42,883","31,588","38,377","41,364","38,645","53,065","38,051","79,702","39,989","135,146","47,834","71,683","27,188","49,169","15,264","45,754","13,155","29,607","11,053","11,242","7,568","1,458","2,445",3,50,0,0,0,0,2023-05-03 10:27
Apr-23,2호선,211,성수,52,4,"5,305","3,835","9,804","31,464","23,373","73,232","31,697","261,351","24,525","151,360","22,624","71,387","25,469","57,094","31,629","59,668","38,741","64,876","45,487","62,473","56,459","59,977","72,294","59,497","129,673","63,845","237,143","70,082","115,807","43,097","81,047","22,602","72,534","17,586","51,076","15,158","20,406","12,212","2,803","5,834",5,911,0,0,0,0,2023-05-03 10:27
Apr-23,2호선,212,건대입구,328,7,"16,507","1,649","22,142","15,965","53,386","25,561","92,088","64,726","64,023","53,250","40,605","45,122","38,764","48,181","46,237","54,372","51,689","60,410","51,486","59,833","56,373","64,618","65,467","79,241","75,242","108,233","88,313","156,507","67,672","110,773","70,990","68,185","79,125","61,779","81,624","54,445","49,847","32,339","7,478","10,736",5,847,0,0,0,0,2023-05-03 10:27
Apr-23,2호선,213,구의(광진구청),49,3,"13,205","1,488","26,723","17,569","68,086","16,916","115,636","38,189","72,005","23,257","38,108","20,153","31,684","19,789","32,848","21,949","32,171","26,518","28,472","28,414","28,903","35,565","37,946","42,995","36,229","57,623","43,121","91,788","23,587","68,843","18,318","45,984","16,828","44,037","15,465","39,975","8,278","23,621","1,253","7,221",0,157,0,0,0,0,2023-05-03 10:27
Apr-23,2호선,214,강변(동서울터미널),25,2,"8,244","2,147","27,075","23,055","77,066","24,970","117,351","43,997","84,314","37,611","66,405","36,468","57,201","34,140","53,862","39,300","50,018","44,099","44,234","48,013","47,171","58,200","50,543","64,047","55,845","81,181","61,109","107,895","44,129","78,057","35,877","53,687","28,305","44,319","19,259","41,910","7,854","21,817",823,"5,366",1,77,0,0,0,0,2023-05-03 10:27
Apr-23,2호선,215,잠실나루,15,1,"3,164","1,874","12,383","12,966","39,392","23,459","47,593","38,532","31,334","25,654","25,162","19,616","24,822","17,223","24,408","21,415","22,163","22,588","22,530","20,799","25,337","21,482","32,364","23,349","37,453","29,357","30,329","39,981","15,861","29,620","11,991","19,432","8,885","18,496","6,598","17,687","2,936","9,733",363,"2,781",1,13,0,0,0,0,2023-05-03 10:27
Apr-23,2호선,216,잠실(송파구청),73,5,"12,947","4,790","48,363","37,595","117,773","82,200","167,481","172,489","124,317","154,079","84,966","125,574","85,066","134,164","97,363","130,271","108,821","135,707","119,107","134,851","141,098","145,067","167,311","159,399","205,682","191,493","246,414","242,885","172,495","160,106","174,982","102,411","160,890","93,612","111,169","86,308","33,512","45,941","4,357","8,611",0,59,0,0,0,0,2023-05-03 10:27
Apr-23,2호선,217,잠실새내,42,0,"5,183",730,"17,716","9,465","58,896","17,744","82,731","27,786","53,492","30,438","35,744","24,417","33,053","28,228","33,661","33,698","33,728","35,682","30,556","37,570","33,450","42,974","36,406","50,062","38,739","64,150","42,175","86,567","33,002","61,088","30,597","37,970","29,071","33,245","29,156","31,666","16,147","17,064","2,262","5,043",0,88,0,0,0,0,2023-05-03 10:27
Apr-23,2호선,218,종합운동장,11,1,"1,396",816,"6,520","10,276","16,992","20,092","23,187","30,705","17,094","17,458","12,903","16,753","12,477","16,571","13,728","36,056","13,598","54,318","13,753","27,493","17,008","34,441","22,733","52,423","46,543","58,263","37,785","65,251","37,853","23,357","36,714","12,100","77,643","12,153","47,946","11,123","5,983","5,906",428,"1,600",1,94,3,3,0,0,2023-05-03 10:27
Apr-23,2호선,219,삼성(무역센터),156,0,"4,522","5,013","6,969","40,130","14,288","137,954","19,703","338,719","21,179","242,189","25,068","114,480","37,752","88,896","48,766","80,498","64,896","88,749","80,011","74,709","102,050","63,748","131,083","58,832","220,254","63,108","307,580","62,256","153,729","36,249","117,485","19,731","104,272","15,809","63,723","12,722","17,772","6,968","2,423","4,618",2,"1,117",0,0,0,0,2023-05-03 10:27
