"행정구역","2022년05월_계_총인구수","2022년05월_계_연령구간인구수","2022년05월_계_0세"
"서울특별시 동대문구 이문제2동(1123075000)","19,833","73","73"
"서울특별시 중랑구 (1126000000)","388,736","1,712","1,712"
"서울특별시 중랑구 면목제2동(1126052000)","24,018","90","90"
"서울특별시 중랑구 면목제4동(1126054000)","18,863","69","69"
"서울특별시 중랑구 면목제5동(1126055000)","14,830","120","120"
"서울특별시 중랑구 면목본동(1126056500)","33,393","138","138"
"서울특별시 중랑구 면목제7동(1126057000)","21,652","106","106"
"서울특별시 중랑구 면목제3.8동(1126057500)","24,492","72","72"
"서울특별시 중랑구 상봉제1동(1126058000)","23,810","117","117"
"서울특별시 중랑구 상봉제2동(1126059000)","20,290","127","127"
"서울특별시 중랑구 중화제1동(1126060000)","19,440","87","87"
"서울특별시 중랑구 중화제2동(1126061000)","24,786","102","102"
"서울특별시 중랑구 묵제1동(1126062000)","34,380","127","127"
"서울특별시 중랑구 묵제2동(1126063000)","18,590","91","91"
"서울특별시 중랑구 망우본동(1126065500)","35,556","197","197"
"서울특별시 중랑구 망우제3동(1126066000)","16,169","50","50"
"서울특별시 중랑구 신내1동(1126068000)","38,284","132","132"
"서울특별시 중랑구 신내2동(1126069000)","20,183","87","87"
"서울특별시 성북구 (1129000000)","433,531","1,905","1,905"
"서울특별시 성북구 성북동(1129052500)","16,419","64","64"
"서울특별시 성북구 삼선동(1129055500)","22,784","67","67"
"서울특별시 성북구 동선동(1129057500)","15,449","30","30"
"서울특별시 성북구 돈암제1동(1129058000)","14,488","72","72"
"서울특별시 성북구 돈암제2동(1129059000)","23,635","130","130"
"서울특별시 성북구 안암동(1129060000)","15,143","35","35"
"서울특별시 성북구 보문동(1129061000)","16,177","87","87"
"서울특별시 성북구 정릉제1동(1129062000)","18,057","98","98"
"서울특별시 성북구 정릉제2동(1129063000)","22,870","103","103"
"서울특별시 성북구 정릉제3동(1129064000)","15,325","47","47"
"서울특별시 성북구 정릉제4동(1129065000)","24,671","110","110"
"서울특별시 성북구 길음제1동(1129066000)","34,935","172","172"
"서울특별시 성북구 길음제2동(1129068500)","21,224","139","139"
"서울특별시 성북구 종암동(1129070500)","38,431","138","138"
"서울특별시 성북구 월곡제1동(1129071500)","26,203","124","124"
"서울특별시 성북구 월곡제2동(1129072500)","19,361","62","62"
"서울특별시 성북구 장위제1동(1129076000)","24,112","101","101"
"서울특별시 성북구 장위제2동(1129077000)","13,676","39","39"
"서울특별시 성북구 장위제3동(1129078000)","15,712","119","119"
"서울특별시 성북구 석관동(1129081000)","34,859","168","168"
"서울특별시 강북구 (1130500000)","296,726","927","927"
"서울특별시 강북구 삼양동(1130553400)","23,423","101","101"
"서울특별시 강북구 미아동(1130553500)","21,371","42","42"
"서울특별시 강북구 송중동(1130554500)","29,326","117","117"
"서울특별시 강북구 송천동(1130555500)","25,962","67","67"
"서울특별시 강북구 삼각산동(1130557500)","30,963","142","142"
"서울특별시 강북구 번1동(1130559500)","18,378","43","43"
"서울특별시 강북구 번2동(1130560300)","15,573","33","33"
"서울특별시 강북구 번3동(1130560800)","16,622","56","56"
"서울특별시 강북구 수유1동(1130561500)","20,438","52","52"
"서울특별시 강북구 수유2동(1130562500)","21,141","64","64"
"서울특별시 강북구 수유3동(1130563500)","23,069","56","56"
"서울특별시 강북구 우이동(1130564500)","20,409","69","69"
"서울특별시 강북구 인수동(1130566000)","30,051","85","85"
"서울특별시 도봉구 (1132000000)","315,162","1,107","1,107"
"서울특별시 도봉구 창제1동(1132051100)","24,496","95","95"
"서울특별시 도봉구 창제2동(1132051200)","28,902","118","118"
"서울특별시 도봉구 창제3동(1132051300)","13,747","35","35"
"서울특별시 도봉구 창제4동(1132051400)","26,289","112","112"
"서울특별시 도봉구 창제5동(1132051500)","24,385","101","101"
"서울특별시 도봉구 도봉제1동(1132052100)","20,834","45","45"
"서울특별시 도봉구 도봉제2동(1132052200)","26,541","103","103"
"서울특별시 도봉구 쌍문제1동(1132066000)","21,216","64","64"
"서울특별시 도봉구 쌍문제2동(1132067000)","18,664","78","78"
"서울특별시 도봉구 쌍문제3동(1132068000)","16,865","77","77"
"서울특별시 도봉구 쌍문제4동(1132068100)","18,445","63","63"
"서울특별시 도봉구 방학제1동(1132069000)","28,530","96","96"
"서울특별시 도봉구 방학제2동(1132070000)","19,450","47","47"
"서울특별시 도봉구 방학제3동(1132071000)","26,798","73","73"
"서울특별시 노원구 (1135000000)","508,867","2,189","2,189"
"서울특별시 노원구 월계1동(1135056000)","21,395","92","92"
"서울특별시 노원구 월계2동(1135057000)","26,270","98","98"
"서울특별시 노원구 월계3동(1135058000)","29,603","200","200"
"서울특별시 노원구 공릉1동(1135059500)","36,639","103","103"
"서울특별시 노원구 공릉2동(1135060000)","41,816","247","247"
"서울특별시 노원구 하계1동(1135061100)","27,065","76","76"
"서울특별시 노원구 하계2동(1135061200)","21,721","79","79"
"서울특별시 노원구 중계본동(1135061900)","23,706","40","40"
"서울특별시 노원구 중계1동(1135062100)","26,512","49","49"
"서울특별시 노원구 중계4동(1135062400)","19,687","46","46"
"서울특별시 노원구 중계2.3동(1135062500)","33,830","142","142"
"서울특별시 노원구 상계1동(1135063000)","37,842","139","139"
"서울특별시 노원구 상계2동(1135064000)","19,817","54","54"
"서울특별시 노원구 상계3.4동(1135066500)","25,807","73","73"
"서울특별시 노원구 상계5동(1135067000)","23,727","66","66"
"서울특별시 노원구 상계6.7동(1135069500)","32,296","198","198"
"서울특별시 노원구 상계8동(1135070000)","22,416","276","276"
"서울특별시 노원구 상계9동(1135071000)","20,238","107","107"
"서울특별시 노원구 상계10동(1135072000)","18,480","104","104"
"서울특별시 은평구 (1138000000)","473,669","1,982","1,982"
"서울특별시 은평구 녹번동(1138051000)","36,696","239","239"
"서울특별시 은평구 불광제1동(1138052000)","38,301","150","150"
"서울특별시 은평구 불광제2동(1138053000)","27,308","62","62"
"서울특별시 은평구 갈현제1동(1138055100)","21,374","48","48"
"서울특별시 은평구 갈현제2동(1138055200)","28,085","84","84"
"서울특별시 은평구 구산동(1138056000)","32,120","111","111"
"서울특별시 은평구 대조동(1138057000)","26,814","82","82"
"서울특별시 은평구 응암제1동(1138058000)","32,933","218","218"
"서울특별시 은평구 응암제2동(1138059000)","28,031","231","231"
"서울특별시 은평구 응암제3동(1138060000)","24,238","78","78"
"서울특별시 은평구 역촌동(1138062500)","45,042","146","146"
"서울특별시 은평구 신사제1동(1138063100)","26,836","101","101"
"서울특별시 은평구 신사제2동(1138063200)","19,735","66","66"
"서울특별시 은평구 증산동(1138064000)","17,608","74","74"
"서울특별시 은평구 수색동(1138065000)","13,190","97","97"
"서울특별시 은평구 진관동(1138069000)","55,358","195","195"
"서울특별시 서대문구 (1141000000)","305,615","1,403","1,403"
"서울특별시 서대문구 천연동(1141052000)","16,949","82","82"
"서울특별시 서대문구 북아현동(1141055500)","15,804","126","126"
"서울특별시 서대문구 충현동(1141056500)","20,192","91","91"
"서울특별시 서대문구 신촌동(1141058500)","20,279","88","88"
"서울특별시 서대문구 연희동(1141061500)","34,796","101","101"
"서울특별시 서대문구 홍제제1동(1141062000)","23,397","120","120"
"서울특별시 서대문구 홍제제3동(1141064000)","17,625","93","93"
"서울특별시 서대문구 홍제제2동(1141065500)","13,531","56","56"
"서울특별시 서대문구 홍은제1동(1141066000)","22,695","120","120"
"서울특별시 서대문구 홍은제2동(1141068500)","26,319","94","94"
"서울특별시 서대문구 남가좌제1동(1141069000)","15,339","80","80"
"서울특별시 서대문구 남가좌제2동(1141070000)","29,589","190","190"
"서울특별시 서대문구 북가좌제1동(1141071000)","17,857","72","72"
"서울특별시 서대문구 북가좌제2동(1141072000)","31,243","90","90"
"서울특별시 마포구 (1144000000)","367,474","1,736","1,736"
"서울특별시 마포구 아현동(1144055500)","25,181","208","208"
"서울특별시 마포구 공덕동(1144056500)","37,052","177","177"
"서울특별시 마포구 도화동(1144058500)","20,987","130","130"
"서울특별시 마포구 용강동(1144059000)","21,407","117","117"
"서울특별시 마포구 대흥동(1144060000)","14,555","46","46"
"서울특별시 마포구 염리동(1144061000)","16,888","85","85"
"서울특별시 마포구 신수동(1144063000)","22,425","138","138"
"서울특별시 마포구 서강동(1144065500)","24,900","138","138"
"서울특별시 마포구 서교동(1144066000)","24,905","68","68"
"서울특별시 마포구 합정동(1144068000)","17,186","89","89"
"서울특별시 마포구 망원제1동(1144069000)","19,761","88","88"
"서울특별시 마포구 망원제2동(1144070000)","18,505","74","74"
"서울특별시 마포구 연남동(1144071000)","14,841","51","51"
"서울특별시 마포구 성산제1동(1144072000)","18,905","70","70"
"서울특별시 마포구 성산제2동(1144073000)","39,490","169","169"
"서울특별시 마포구 상암동(1144074000)","30,486","88","88"
"서울특별시 양천구 (1147000000)","444,925","1,621","1,621"
"서울특별시 양천구 목1동(1147051000)","30,474","90","90"
"서울특별시 양천구 목2동(1147052000)","29,704","139","139"
"서울특별시 양천구 목3동(1147053000)","21,852","125","125"
"서울특별시 양천구 목4동(1147054000)","25,231","49","49"
"서울특별시 양천구 목5동(1147055000)","40,823","82","82"
"서울특별시 양천구 신월1동(1147056000)","20,376","55","55"
"서울특별시 양천구 신월2동(1147057000)","20,532","64","64"
"서울특별시 양천구 신월3동(1147058000)","14,999","60","60"
"서울특별시 양천구 신월4동(1147059000)","17,772","81","81"
"서울특별시 양천구 신월5동(1147060000)","14,539","69","69"
"서울특별시 양천구 신월6동(1147061000)","13,675","136","136"
"서울특별시 양천구 신월7동(1147061100)","19,442","75","75"
"서울특별시 양천구 신정1동(1147062000)","20,035","38","38"
"서울특별시 양천구 신정2동(1147063000)","19,255","41","41"
"서울특별시 양천구 신정3동(1147064000)","50,360","230","230"
"서울특별시 양천구 신정4동(1147065000)","32,773","111","111"
"서울특별시 양천구 신정6동(1147067000)","24,396","76","76"
"서울특별시 양천구 신정7동(1147068000)","28,687","100","100"
"서울특별시 강서구 (1150000000)","572,959","2,706","2,706"
"서울특별시 강서구 염창동(1150051000)","41,612","293","293"
"서울특별시 강서구 등촌제1동(1150052000)","24,730","181","181"
"서울특별시 강서구 등촌제2동(1150053000)","20,008","89","89"
"서울특별시 강서구 등촌제3동(1150053500)","30,363","167","167"
"서울특별시 강서구 화곡제1동(1150054000)","51,870","211","211"
"서울특별시 강서구 화곡제2동(1150055000)","17,709","57","57"
"서울특별시 강서구 화곡제3동(1150056000)","21,520","68","68"
"서울특별시 강서구 화곡제4동(1150057000)","20,453","83","83"
"서울특별시 강서구 화곡본동(1150059000)","34,214","142","142"
"서울특별시 강서구 화곡제6동(1150059100)","24,997","87","87"
"서울특별시 강서구 화곡제8동(1150059300)","24,409","94","94"
"서울특별시 강서구 가양제1동(1150060300)","34,157","154","154"
"서울특별시 강서구 가양제2동(1150060400)","13,941","59","59"
"서울특별시 강서구 가양제3동(1150060500)","14,845","119","119"
"서울특별시 강서구 발산제1동(1150061100)","36,248","153","153"
"서울특별시 강서구 우장산동(1150061500)","42,614","153","153"
"서울특별시 강서구 공항동(1150062000)","30,741","175","175"
"서울특별시 강서구 방화제1동(1150063000)","42,660","214","214"
"서울특별시 강서구 방화제2동(1150064000)","23,264","101","101"
"서울특별시 강서구 방화제3동(1150064100)","22,604","106","106"
"서울특별시 구로구 (1153000000)","395,146","2,027","2,027"
"서울특별시 구로구 신도림동(1153051000)","36,004","264","264"
"서울특별시 구로구 구로제1동(1153052000)","20,780","153","153"
"서울특별시 구로구 구로제2동(1153053000)","23,524","61","61"
"서울특별시 구로구 구로제3동(1153054000)","23,581","108","108"
"서울특별시 구로구 구로제4동(1153055000)","19,475","67","67"
"서울특별시 구로구 구로제5동(1153056000)","29,481","165","165"
"서울특별시 구로구 가리봉동(1153059500)","9,077","21","21"
"서울특별시 구로구 고척제1동(1153072000)","21,922","67","67"
