사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2023-04,우이신설선,4703,4.19민주묘지,77386,78596,38927,34509
2023-04,우이신설선,4704,가오리,75494,71133,51392,52187
2023-04,우이신설선,4705,화계,59968,53165,44665,45116
2023-04,우이신설선,4706,삼양,32224,32032,27547,30266
2023-04,우이신설선,4707,삼양사거리,38186,37123,36648,36908
2023-04,우이신설선,4708,솔샘,130935,118922,40734,42506
2023-04,우이신설선,4709,북한산보국문,151042,137635,45952,45458
2023-04,우이신설선,4710,정릉,96553,84539,48430,45781
2023-04,우이신설선,4711,성신여대입구(돈암),73309,87224,29762,29634
2023-04,우이신설선,4712,보문,31447,32804,15812,15571
2023-04,우이신설선,4713,신설동,35326,36256,30313,26753
2023-04,신림선,4401,샛강,62486,77895,14778,14870
2023-04,신림선,4402,대방,66501,48917,16802,14188
2023-04,신림선,4403,서울지방병무청,60468,63888,22722,24819
2023-04,신림선,4404,보라매,85950,78621,21856,19448
2023-04,신림선,4405,보라매공원,46212,51228,16268,17518
2023-04,신림선,4406,보라매병원,138611,145192,47633,46973
2023-04,신림선,4407,당곡,92996,88941,35177,34386
2023-04,신림선,4408,신림,35458,53929,15135,18071
2023-04,신림선,4409,서원,76664,62214,22909,22747
2023-04,신림선,4410,서울대벤처타운,208339,187189,61271,61560
2023-04,신림선,4411,관악산(서울대),63684,69063,35209,35595
