순번,기준년,기준월,상권코드,상권명,성별코드,성별,시간대코드,시간대,행정동코드,행정동명,유동인구수,시간당 평균 유동인구수,데이터생성일자
47,2021,01월,3,롯데백화점 주변 상권,f,여성,4,저녁,3017055000,용문동,32154.08,8038.54,2022-11-15
48,2021,01월,3,롯데백화점 주변 상권,m,남성,4,저녁,3017055000,용문동,29458.37,7364.6,2022-11-15
49,2021,01월,3,롯데백화점 주변 상권,f,여성,5,야간,3017055000,용문동,18993.12,2713.3,2022-11-15
50,2021,01월,3,롯데백화점 주변 상권,m,남성,5,야간,3017055000,용문동,20675.74,2953.68,2022-11-15
51,2021,01월,3,롯데백화점 주변 상권,f,여성,1,출근,3017055500,탄방동,21815,10907.5,2022-11-15
52,2021,01월,3,롯데백화점 주변 상권,m,남성,1,출근,3017055500,탄방동,21384.38,10692.19,2022-11-15
53,2021,01월,3,롯데백화점 주변 상권,f,여성,2,주간,3017055500,탄방동,179107.67,19900.85,2022-11-15
54,2021,01월,3,롯데백화점 주변 상권,m,남성,2,주간,3017055500,탄방동,156951.99,17439.11,2022-11-15
55,2021,01월,3,롯데백화점 주변 상권,f,여성,3,퇴근,3017055500,탄방동,44779.65,22389.83,2022-11-15
56,2021,01월,3,롯데백화점 주변 상권,m,남성,3,퇴근,3017055500,탄방동,39272.37,19636.19,2022-11-15
57,2021,01월,3,롯데백화점 주변 상권,f,여성,4,저녁,3017055500,탄방동,89677.34,22419.35,2022-11-15
58,2021,01월,3,롯데백화점 주변 상권,m,남성,4,저녁,3017055500,탄방동,77944.06,19486.03,2022-11-15
59,2021,01월,3,롯데백화점 주변 상권,f,여성,5,야간,3017055500,탄방동,39597.29,5656.75,2022-11-15
60,2021,01월,3,롯데백화점 주변 상권,m,남성,5,야간,3017055500,탄방동,42073.47,6010.49,2022-11-15
61,2021,01월,3,롯데백화점 주변 상권,f,여성,1,출근,3017056000,괴정동,17385.58,8692.79,2022-11-15
62,2021,01월,3,롯데백화점 주변 상권,m,남성,1,출근,3017056000,괴정동,18569.23,9284.62,2022-11-15
63,2021,01월,3,롯데백화점 주변 상권,f,여성,2,주간,3017056000,괴정동,151405.73,16822.86,2022-11-15
64,2021,01월,3,롯데백화점 주변 상권,m,남성,2,주간,3017056000,괴정동,148967.77,16551.97,2022-11-15
65,2021,01월,3,롯데백화점 주변 상권,f,여성,3,퇴근,3017056000,괴정동,46705.02,23352.51,2022-11-15
66,2021,01월,3,롯데백화점 주변 상권,m,남성,3,퇴근,3017056000,괴정동,52582.43,26291.22,2022-11-15
67,2021,01월,3,롯데백화점 주변 상권,f,여성,4,저녁,3017056000,괴정동,71900.46,17975.13,2022-11-15
68,2021,01월,3,롯데백화점 주변 상권,m,남성,4,저녁,3017056000,괴정동,82572.46,20643.13,2022-11-15
